================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
10831 Rohini                     pm25   holdout_120d                     D+2      23.55   -0.418
10831 Rohini                     pm25   holdout_120d                     D+3      22.13   -0.259
10831 Rohini                     pm10   fold_3                           D+2      93.84    0.136
10831 Rohini                     pm10   fold_3                           D+3      99.18    0.027
10831 Rohini                     pm10   holdout_120d                     D+2      72.00    0.054
10831 Rohini                     pm10   holdout_120d                     D+3      70.20    0.097
10831 Rohini                     no2    fold_3                           D+2      12.05   -0.183
10831 Rohini                     no2    fold_3                           D+3      12.45   -0.251
10831 Rohini                     no2    holdout_120d                     D+2      12.09   -0.314
10831 Rohini                     no2    holdout_120d                     D+3      11.95   -0.272
10831 Rohini                     o3     fold_3                           D+2      17.37   -0.031
10831 Rohini                     o3     fold_3                           D+3      18.03   -0.111
10831 Rohini                     o3     holdout_120d                     D+2       8.41   -0.271
10831 Rohini                     o3     holdout_120d                     D+3       8.39   -0.273
10831 Rohini                     so2    fold_3                           D+2       4.73    0.301
10831 Rohini                     so2    fold_3                           D+3       5.04    0.199
10831 Rohini                     so2    holdout_120d                     D+2       5.84    0.017
10831 Rohini                     so2    holdout_120d                     D+3       5.66    0.074
10900 Gurugram (Teri Gram)       pm25   fold_1_stubble_oct_nov_2025      D+2   82068.07    0.044
10900 Gurugram (Teri Gram)       pm25   fold_1_stubble_oct_nov_2025      D+3   85502.25   -0.038
10900 Gurugram (Teri Gram)       pm25   fold_2                           D+2   59307.23    0.056
10900 Gurugram (Teri Gram)       pm25   fold_2                           D+3   61790.96   -0.025
10900 Gurugram (Teri Gram)       pm25   fold_3                           D+2      78.68    0.241
10900 Gurugram (Teri Gram)       pm25   fold_3                           D+3      80.12    0.207
10900 Gurugram (Teri Gram)       pm25   holdout_120d                     D+2      33.67   -0.264
10900 Gurugram (Teri Gram)       pm25   holdout_120d                     D+3      32.96   -0.203
10900 Gurugram (Teri Gram)       pm10   fold_1_stubble_oct_nov_2025      D+2    6740.25    0.069
10900 Gurugram (Teri Gram)       pm10   fold_1_stubble_oct_nov_2025      D+3    1237.36    0.382
10900 Gurugram (Teri Gram)       pm10   fold_2                           D+2    6303.85    0.073
10900 Gurugram (Teri Gram)       pm10   fold_2                           D+3    6299.27    0.074
10900 Gurugram (Teri Gram)       pm10   fold_3                           D+2    1689.91    0.110
10900 Gurugram (Teri Gram)       pm10   fold_3                           D+3    1734.63    0.053
10900 Gurugram (Teri Gram)       pm10   holdout_120d                     D+2     266.95  -23.538
10900 Gurugram (Teri Gram)       pm10   holdout_120d                     D+3     280.87  -26.031
10900 Gurugram (Teri Gram)       no2    fold_1_stubble_oct_nov_2025      D+2      10.85    0.339
10900 Gurugram (Teri Gram)       no2    fold_1_stubble_oct_nov_2025      D+3      12.00    0.196
10900 Gurugram (Teri Gram)       no2    fold_2                           D+2      12.62    0.216
10900 Gurugram (Teri Gram)       no2    fold_2                           D+3      13.39    0.117
10900 Gurugram (Teri Gram)       no2    fold_3                           D+2       9.79   -0.994
10900 Gurugram (Teri Gram)       no2    fold_3                           D+3      10.21   -1.185
10900 Gurugram (Teri Gram)       no2    holdout_120d                     D+2       9.39   -1.532
10900 Gurugram (Teri Gram)       no2    holdout_120d                     D+3       9.88   -1.806
10900 Gurugram (Teri Gram)       o3     fold_1_stubble_oct_nov_2025      D+2      13.35   -0.972
10900 Gurugram (Teri Gram)       o3     fold_1_stubble_oct_nov_2025      D+3      12.97   -0.883
10900 Gurugram (Teri Gram)       o3     fold_2                           D+2      10.47   -0.494
10900 Gurugram (Teri Gram)       o3     fold_2                           D+3      10.53   -0.511
10900 Gurugram (Teri Gram)       o3     fold_3                           D+2       6.16   -0.337
10900 Gurugram (Teri Gram)       o3     fold_3                           D+3       6.37   -0.411
10900 Gurugram (Teri Gram)       o3     holdout_120d                     D+2       9.29   -0.508
10900 Gurugram (Teri Gram)       o3     holdout_120d                     D+3       8.79   -0.349
10900 Gurugram (Teri Gram)       so2    fold_1_stubble_oct_nov_2025      D+2       8.79   -0.141
10900 Gurugram (Teri Gram)       so2    fold_1_stubble_oct_nov_2025      D+3       8.49   -0.084
10900 Gurugram (Teri Gram)       so2    fold_2                           D+2       8.31   -0.089
10900 Gurugram (Teri Gram)       so2    fold_2                           D+3       8.67   -0.186
10900 Gurugram (Teri Gram)       so2    fold_3                           D+2       4.69   -0.064
10900 Gurugram (Teri Gram)       so2    fold_3                           D+3       5.12   -0.278
10900 Gurugram (Teri Gram)       so2    holdout_120d                     D+2       4.60   -0.176
10900 Gurugram (Teri Gram)       so2    holdout_120d                     D+3       5.00   -0.375
10908 Faridabad (Sector 11)      pm25   fold_1_stubble_oct_nov_2025      D+2     627.33    0.032
10908 Faridabad (Sector 11)      pm25   fold_1_stubble_oct_nov_2025      D+3     660.70   -0.074
10908 Faridabad (Sector 11)      pm25   fold_2                           D+2     491.38    0.025
10908 Faridabad (Sector 11)      pm25   fold_2                           D+3     513.51   -0.065
10908 Faridabad (Sector 11)      pm25   fold_3                           D+2      47.11    0.092
10908 Faridabad (Sector 11)      pm25   fold_3                           D+3      48.05    0.048
10908 Faridabad (Sector 11)      pm25   holdout_120d                     D+2      39.70   -0.128
10908 Faridabad (Sector 11)      pm25   holdout_120d                     D+3      39.34   -0.103
10908 Faridabad (Sector 11)      pm10   fold_1_stubble_oct_nov_2025      D+2     629.63    0.294
10908 Faridabad (Sector 11)      pm10   fold_1_stubble_oct_nov_2025      D+3     692.95    0.144
10908 Faridabad (Sector 11)      pm10   fold_2                           D+2     499.75    0.272
10908 Faridabad (Sector 11)      pm10   fold_2                           D+3     542.33    0.142
10908 Faridabad (Sector 11)      pm10   fold_3                           D+2      93.31    0.204
10908 Faridabad (Sector 11)      pm10   fold_3                           D+3      96.34    0.144
10908 Faridabad (Sector 11)      pm10   holdout_120d                     D+2      67.50   -0.031
10908 Faridabad (Sector 11)      pm10   holdout_120d                     D+3      67.33   -0.025
10908 Faridabad (Sector 11)      no2    fold_1_stubble_oct_nov_2025      D+2       8.76   -0.186
10908 Faridabad (Sector 11)      no2    fold_1_stubble_oct_nov_2025      D+3       9.91   -0.520
10908 Faridabad (Sector 11)      no2    fold_2                           D+2       6.38    0.115
10908 Faridabad (Sector 11)      no2    fold_2                           D+3       7.19   -0.123
10908 Faridabad (Sector 11)      no2    fold_3                           D+2       0.89   -1.906
10908 Faridabad (Sector 11)      no2    fold_3                           D+3       0.90   -1.956
10908 Faridabad (Sector 11)      no2    holdout_120d                     D+2       0.84  -22.108
10908 Faridabad (Sector 11)      no2    holdout_120d                     D+3       0.83  -21.380
10908 Faridabad (Sector 11)      o3     fold_1_stubble_oct_nov_2025      D+2      11.96    0.213
10908 Faridabad (Sector 11)      o3     fold_1_stubble_oct_nov_2025      D+3      12.21    0.187
10908 Faridabad (Sector 11)      o3     fold_2                           D+2       8.65    0.383
10908 Faridabad (Sector 11)      o3     fold_2                           D+3       8.83    0.357
10908 Faridabad (Sector 11)      o3     fold_3                           D+2       0.67   -0.914
10908 Faridabad (Sector 11)      o3     fold_3                           D+3       0.66   -0.871
10908 Faridabad (Sector 11)      o3     holdout_120d                     D+2       3.50   -0.265
10908 Faridabad (Sector 11)      o3     holdout_120d                     D+3       3.69   -0.395
10908 Faridabad (Sector 11)      so2    fold_1_stubble_oct_nov_2025      D+2      14.77   -0.025
10908 Faridabad (Sector 11)      so2    fold_1_stubble_oct_nov_2025      D+3      14.93   -0.038
10908 Faridabad (Sector 11)      so2    fold_2                           D+2      11.21    0.197
10908 Faridabad (Sector 11)      so2    fold_2                           D+3      11.36    0.176
10908 Faridabad (Sector 11)      so2    fold_3                           D+2       5.13   -0.046
10908 Faridabad (Sector 11)      so2    fold_3                           D+3       5.12   -0.052
10908 Faridabad (Sector 11)      so2    holdout_120d                     D+2       3.95  -12.788
10908 Faridabad (Sector 11)      so2    holdout_120d                     D+3       3.88  -12.190
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_1_stubble_oct_nov_2025      D+2      68.98    0.306
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_1_stubble_oct_nov_2025      D+3      65.11    0.367
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_2                           D+2      80.79    0.330
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_2                           D+3      78.72    0.362
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_3                           D+2      47.82    0.215
10919 Ghaziabad (Sanjay Nagar)   pm25   fold_3                           D+3      48.82    0.178
10919 Ghaziabad (Sanjay Nagar)   pm25   holdout_120d                     D+2      18.36   -0.051
10919 Ghaziabad (Sanjay Nagar)   pm25   holdout_120d                     D+3      18.03   -0.010
10919 Ghaziabad (Sanjay Nagar)   pm10   fold_1_stubble_oct_nov_2025      D+2     111.84   -0.000
10919 Ghaziabad (Sanjay Nagar)   pm10   fold_1_stubble_oct_nov_2025      D+3     105.55    0.082
10919 Ghaziabad (Sanjay Nagar)   pm10   fold_2                           D+2     191.64    0.134
10919 Ghaziabad (Sanjay Nagar)   pm10   fold_2                           D+3     190.28    0.151
